Hematologic cancer	HSP90AA1
Hematologic cancer	ICAM1
Hematologic cancer	IRF8
Hematologic cancer	ID2
Hematologic cancer	ID3
Hematologic cancer	IDH1
Hematologic cancer	IDH2
Hematologic cancer	IFNA1
Hematologic cancer	IFNA2
Hematologic cancer	IFNG
Hematologic cancer	IL1B
Hematologic cancer	IL2
Hematologic cancer	IL2RA
Hematologic cancer	IL3
Hematologic cancer	IL3RA
Hematologic cancer	IL4
Hematologic cancer	IL6
Hematologic cancer	IL6R
Hematologic cancer	IL7
Hematologic cancer	IL10
Hematologic cancer	IL13
Hematologic cancer	IL15
Hematologic cancer	IRF4
Hematologic cancer	ITGA4
Hematologic cancer	ITGAD
Hematologic cancer	ITGAE
Hematologic cancer	ITGAL
Hematologic cancer	ITGAX
Hematologic cancer	IVL
Hematologic cancer	JAK1
Hematologic cancer	JAK2
Hematologic cancer	JAK3
Hematologic cancer	JUN
Hematologic cancer	JUND
Hematologic cancer	KIR3DL2
Hematologic cancer	KIT
Hematologic cancer	KRAS
Hematologic cancer	LCK
Hematologic cancer	LIG4
Hematologic cancer	LMO1
Hematologic cancer	LMO2
Hematologic cancer	LPP
Hematologic cancer	LYL1
Hematologic cancer	SH2D1A
Hematologic cancer	LYZ
Hematologic cancer	MAF
Hematologic cancer	MCL1
Hematologic cancer	MDM2
Hematologic cancer	MEIS1
Hematologic cancer	MET
Hematologic cancer	KITLG
Hematologic cancer	MGMT
Hematologic cancer	CD99
Hematologic cancer	MLF1
Hematologic cancer	MLH1
Hematologic cancer	KMT2A
Hematologic cancer	MLLT1
Hematologic cancer	MLLT3
Hematologic cancer	MME
Hematologic cancer	MN1
Hematologic cancer	MPL
Hematologic cancer	MPO
Hematologic cancer	MTAP
Hematologic cancer	MTHFR
Hematologic cancer	MTR
Hematologic cancer	MUC1
Hematologic cancer	MX1
Hematologic cancer	MYB
Hematologic cancer	MYBL2
Hematologic cancer	MYC
Hematologic cancer	MYH11
Hematologic cancer	NCAM1
Hematologic cancer	NF1
Hematologic cancer	NFKBIA
Hematologic cancer	NOTCH1
Hematologic cancer	NPM1
Hematologic cancer	NRAS
Hematologic cancer	NUP98
Hematologic cancer	ODF1
Hematologic cancer	OGG1
Hematologic cancer	TNFRSF11B
